ar,bydel,indre_ytre,ost_vest,n_kandidater_nom,n_kandidater_put,befolkning
1987,Nordstrand,ytre vest,vestkant,51,4,NA
1987,Søndre Nordstrand,ytre øst,østkant,30,2,NA
1987,NA,indre vest,vestkant,135,14,NA
1987,NA,indre øst,østkant,92,6,NA
1987,NA,ytre vest,vestkant,222,24,NA
1987,NA,ytre øst,østkant,164,16,NA
1987,NA,NA,NA,14,0,NA
1989,Nordstrand,ytre vest,vestkant,8,3,NA
1989,Søndre Nordstrand,ytre øst,østkant,3,0,NA
1989,NA,indre vest,vestkant,26,7,NA
1989,NA,indre øst,østkant,8,1,NA
1989,NA,ytre vest,vestkant,49,11,NA
1989,NA,ytre øst,østkant,27,4,NA
1989,NA,NA,NA,5,1,NA
1991,Alna,ytre øst,østkant,10,4,NA
1991,Bjerke,ytre øst,østkant,4,0,NA
1991,Frogner,indre vest,vestkant,2,2,NA
1991,Gamle Oslo,indre øst,østkant,5,2,NA
1991,Grorud,ytre øst,østkant,4,2,NA
1991,Grünerløkka,indre øst,østkant,3,2,NA
1991,Nordre Aker,ytre vest,vestkant,7,2,NA
1991,Nordstrand,ytre vest,vestkant,53,13,NA
1991,Sagene,indre øst,østkant,4,2,NA
1991,St. Hanshaugen,indre vest,vestkant,5,4,NA
1991,Stovner,ytre øst,østkant,7,2,NA
1991,Søndre Nordstrand,ytre øst,østkant,26,4,NA
1991,Ullern,ytre vest,vestkant,1,0,NA
1991,Vestre Aker,ytre vest,vestkant,9,2,NA
1991,Østensjø,ytre øst,østkant,5,0,NA
1991,NA,indre vest,vestkant,81,13,NA
1991,NA,indre øst,østkant,57,8,NA
1991,NA,ytre vest,vestkant,149,25,NA
1991,NA,ytre øst,østkant,86,10,NA
1991,NA,NA,NA,70,4,NA
1993,Alna,ytre øst,østkant,6,0,NA
1993,Bjerke,ytre øst,østkant,6,1,NA
1993,Frogner,indre vest,vestkant,26,7,NA
1993,Gamle Oslo,indre øst,østkant,10,1,NA
1993,Grorud,ytre øst,østkant,4,1,NA
1993,Grünerløkka,indre øst,østkant,19,3,NA
1993,Marka,NA,NA,1,0,NA
1993,Nordre Aker,ytre vest,vestkant,8,2,NA
1993,Nordstrand,ytre vest,vestkant,13,2,NA
1993,Sagene,indre øst,østkant,5,0,NA
1993,St. Hanshaugen,indre vest,vestkant,7,3,NA
1993,Stovner,ytre øst,østkant,5,1,NA
1993,Søndre Nordstrand,ytre øst,østkant,4,0,NA
1993,Ullern,ytre vest,vestkant,13,5,NA
1993,Vestre Aker,ytre vest,vestkant,17,3,NA
1993,Østensjø,ytre øst,østkant,13,2,NA
1993,NA,NA,NA,4,1,NA
1995,Alna,ytre øst,østkant,50,7,NA
1995,Bjerke,ytre øst,østkant,21,0,NA
1995,Frogner,indre vest,vestkant,61,6,NA
1995,Gamle Oslo,indre øst,østkant,35,5,NA
1995,Grorud,ytre øst,østkant,21,2,NA
1995,Grünerløkka,indre øst,østkant,44,6,NA
1995,Marka,NA,NA,2,0,NA
1995,Nordre Aker,ytre vest,vestkant,47,4,NA
